word,trans,example
execute,"v.处死；实行;实施;执行;履行；完成
","1. 13 people were summarily executed (= killed without any trial or legal process ) by the guerrillas.
有13人被游击队员就地处决。
2. The job involves drawing up and executing a plan of nursing care.
这项工作包括拟订和实施一个护理计划。
3. The skaters’ routine was perfectly executed.
滑冰选手把整套动作完成得非常出色。
"
inspire,"v.鼓舞,激起；使产生灵感
","1. We need someone who can inspire the team.
我们需要一个能鼓舞团队士气的人。
2. Inspired by the sunny weather, I decided to explore the woods.
阳光明媚的天气令人振奋，我决定到森林里寻幽探胜。
3. a range of designs inspired by wild flowers
从野花中得到灵感的一系列设计
"
timid,"adj.胆怯的,怯懦的
","1. I was a timid child.
我曾是个胆小的孩子。
2. a policy that is both timid and inadequate
一项既无胆识又不完善的政策
"
sideways,"adv&adj.向旁边(的),侧身,横着(的),斜着(的)
","1. A strong gust of wind blew the car sideways into the ditch.
一阵狂风把汽车横着掀进了沟里。
"
controversial,"adj.引起争论的,有争议的
","1. the controversial issue of welfare reform
福利改革这一有争议的话题
2. a highly controversial (= very controversial ) plan to flood the valley in order to build a dam
一个把山谷淹掉来建造水坝的极具争议的计划
3. He is a controversial figure (= person who does controversial things ) in the art world.
他是艺术界极具争议的人物。
"
captive,"n.俘虏
adj.被俘虏的,被监禁的
","1. During his six years in Ireland as a captive, he became deeply religious When he returned to England he became a priest.
就在他在爱尔兰作俘虏的六年里，他深受宗教的洗礼，回到英国成为了一个牧师。
2. captive soldiers
被俘的士兵
"
expansion,"n.扩张,膨胀;张开,伸展
","1. ...the rapid expansion of private health insurance.
…私人健康保险的快速发展。
"
discourse,"n.演说；谈话；话语
v.讲述,著述
","1. a discourse on art
有关艺术的演讲
2. Candidates should engage in serious political discourse.
候选人应该参加严肃的政治对话。
3. a study of spoken discourse
口语语篇研究
"
finance,"n.财政,金融
v.为…提供资金
","1. leasing and other forms of business finance
租赁及其他商业金融形式
2. Russia’s finance minister
俄罗斯财政部长
3. the world of high finance
高级金融界
4. The concerts are financed by the Arts Council.
音乐会由艺术协会出资举办。
"
contact,"n.联系,交往；接触
v.联系
","1. The town is cut off from contact with the outside world.
小镇与外界的联系被切断了。
2. Children need physical contact with a caring adult.
儿童需要和关爱他们的大人有身体接触。
3. Please do not hesitate to contact me if you have any queries.
你如果有任何疑问，尽管和我联系。
"
criticism,"n.批评，指责，非难；评论性的文章，评论
","1. Despite strong criticism , the new system is still in place.
尽管遭到了猛烈的批评，新制度依然原封不动。
2. There has been widespread criticism of the decision.
这一决定受到了普遍的批评。
3. We try to give students constructive criticism .
我们设法对学生提出有建设性的批评。
4. Another criticism levelled at him was that his teaching methods were old-fashioned.
还有一个针对他的批评是，他的教学方法已经过时。
5. The government’s economic strategy has attracted a lot of criticism .
政府的经济政策招致了大量的批评。
6. You must learn to accept criticism .
你必须学会接受批评。
7. Many employees find it hard to take even mild criticism .
有许多员工甚至连轻微的批评也很难接受。
8. His actions provoked severe criticism from civil rights groups.
他的行为招致了民权组织的严厉批评。
9. the storm of criticism that followed his announcement
他的声明引来的批评浪潮
10. literary criticism
文学评论
"
motive,"n.动机,目的
adj.发动的,运动的
","1. What do you suppose the killer’s motive was?
你认为凶手的动机是什么？
2. The violence was clearly prompted by political motives.
这次暴力事件显然是由政治动机引发的。
3. It’s not the kind of thing he’d do unless he had an ulterior motive (= a reason he kept hidden ) .
他不会做这种事的，除非他另有隐情。
4. Water provided the motive power for the mill.
水为磨坊提供了动力。
"
pregnant,"adj.怀孕的；富有意义的
","1. care for pregnant women
孕妇保健
2. I knew right away that I was pregnant.
我立即明白我怀孕了。
3. I thought I was too old to get pregnant .
我觉得自己年龄太大，已经不能怀孕了。
4. I didn’t mean to get her pregnant (= make her pregnant ) .
我没想让她怀孕。
5. His wife was heavily pregnant (= almost ready to give birth ) .
他的妻子即将临产。
6. Every phrase in this poem is pregnant with meaning.
这首诗的片言只语都充满深意。
"
magnify,"v.放大,扩大；夸大,夸张
","1. At the Sheffield arena, the speakers were magnified ten times on a giant screen.
在谢菲尔德体育馆，演讲者在一个巨大的屏幕上被放大了十倍。
2. A public address system magnifies all the little noises and coughs.
扩音系统会放大任何细小的噪音和咳嗽声。
3. The report tends to magnify the risks involved
这份报告有夸大所涉风险的倾向。
"
approval,"n.批准，通过；赞成，同意
","1. The president has already given his approval to the plan.
总统已经批准了这个计划。
2. It is just three months since we received official approval to go ahead with the project.
三个月前我们刚刚得到正式批准进行这个项目。
3. A company cannot be sold without the approval of the shareholders.
没有股东的同意不能出售公司。
4. The bill will be submitted for approval by Congress.
这项法案将提交国会通过。
5. The President would appoint the Council of Ministers, subject to the approval of the National Assembly.
总统将任命内阁成员，但需经国民议会批准。
6. The IMF has given its seal of approval to the government’s economic strategy.
国际货币基金组织已经同意该政府的经济策略。
7. appointments requiring parliamentary approval
需经议会批准的任命
8. A murmur of approval passed through the crowd.
人群纷纷低声称是。
"
parasite,"n.寄生虫,食客
","1. Kangaroos harbour a vast range of parasites.
袋鼠身上有各种各样的寄生虫。
"
extraordinary,"adj.异乎寻常的；令人惊奇的；非凡的，出色的
","1. It took an extraordinary amount of work.
这费了相当多的功夫。
2. a woman of extraordinary beauty
容貌出众的女子
3. an extraordinary talent
非凡的才华
"
closet,"n.(壁)橱
v.把…引进密室会谈；把…关在小房间里
","1. a closet full of beautiful clothes
满是漂亮衣服的壁橱
2. Don’t let her closet herself away in her room.
别让她把自己关在房间里。
"
slow,"adj.慢的,不活跃的
v.(down)(使)放慢,减速
","1. The car was travelling at a very slow speed.
汽车正以非常慢的速度行驶。
2. a slow walker
慢慢走着的人
3. The economy faces a year of slower growth.
经济将面临增长更缓慢的一年。
4. Take a few deep, slow breaths.
慢慢地深吸几口气。
5. Her breathing slowed and she fell asleep.
她呼吸慢下来，睡着了。
6. Ian slowed up as he approached the traffic lights.
伊恩在驶近红绿灯时放慢了速度。
"
possess,"v.拥有
","1. Different workers possess different skills.
不同的工人拥有不同技能。
2. He no longer possessed the power to frighten her.
他再也吓不倒她了。
"
daytime,"n.白天,日间
","1. Can I take your daytime telephone number (= the number of the telephone you use during the day ) ?
你能把你的日间电话号码给我吗？
2. daytime television
日间电视节目
"
common,"adj.常见的，普遍的；共同的
n.公地
","1. Heart disease is one of the commonest causes of death.
心脏病是最常见的死因之一。
2. countries that share a common language
说同一种语言的国家
3. Boston Common
波士顿公地
"
marriage,"n.结婚,婚姻；结婚仪式
","1. She has three daughters from a previous marriage.
她前一次婚姻生了三个女儿。
2. The marriage took place at St Bartholomew’s Church.
婚礼是在圣巴托罗缪教堂举行的。
"
particle,"n.微粒,极小量；粒子
","1. dust particles
尘埃
2. ...the sub-atomic particles that make up matter.
…构成物质的次原子微粒。
"
diagnose,"v.诊断(疾病)；判断(问题)
","1. Joe struggled in school before he was diagnosed as dyslexic.
乔在学校里学习很吃力，后来被诊断出患有诵读困难症。
"
assignment,"n.任务；作业
","1. She’s gone to Italy on a special assignment.
她去意大利执行一项特殊任务。
2. a history assignment
历史作业
"
concert,"n.音乐会,演奏会
","1. a rock concert
摇滚音乐会
2. a concert of French choral music
法国合唱音乐会
3. We were going to a concert in Bath Abbey.
我们要去听一场在巴斯修道院内举行的音乐会。
4. She still does about 100 concerts every year.
她每年仍然举行100场左右的演唱会。
"
centimetre,"n.(centimeter)厘米
","1. ...a tiny fossil plant, only a few centimetres high.
…一块小小的植物化石，只有几厘米高。
"
herd,"n.群,兽群,牛群
v.群集；放牧
","1. Chobe is also renowned for its large herds of elephant and buffalo.
乔贝还以其大群的大象和水牛而闻名。
2. The prisoners were herded together .
犯人们被集合起来。
3. It was Tom’s duty to herd the cows.
汤姆的职责是放牛。
"
expect,"v.预期；期望,指望
","1. He will be hard to beat. I fully expect (= am completely sure about ) that and I’m ready.
他很难击败。我确信这一点，不过我准备好了。
2. ‘Who are you?’ he murmured, only half expecting (= thinking it was possible, but not likely ) her to answer.
“你是谁？”他低声问道，预计她可能不会回答。
3. He didn’t get his expected pay rise.
他没有得到他预想的加薪。
4. The officer expects complete obedience from his troops.
这位军官要求部下绝对服从。
"
incidence,"n.发生率
","1. The incidence of breast cancer increases with age.
乳腺癌的发病率随着年龄的增长而上升。
"
monster,"n.怪物,妖怪,畸形的动植物
","1. the remains of a prehistoric monster
史前怪兽的遗骸
2. the search for the Loch Ness Monster
对内斯湖水怪的搜寻
"
mobilize,"v.(mobilise)动员,赋予可动性；赋予可动性
","1. an attempt to mobilize popular opinion
鼓动公众舆论的尝试
2. a campaign to mobilize support for the strike
动员大家支持罢工的宣传活动
3. The physiotherapist mobilizes the patient’s shoulder.
物理治疗师帮助病人活动肩膀
"
prove,"v.证明,证实；证明是，结果是,表明是
","1. You’re wrong, and I can prove it.
你错了，我可以证明。
2. To prove his point (= show that he was right ) , he mentioned several other experiments which had produced similar results.
为了证明自己的观点，他提到了另外几个结果相似的实验。
3. The design proved to be a success.
那个设计后来证明很成功。
"
advantage,"n.有利条件，优势；好处，优点
","1. Younger workers tend to be at an advantage (=  have an advantage  ) when applying for jobs.
年轻点的工人申请工作时往往处于优势地位。
2. It might be to your advantage (=  it might help you  ) to take a computer course of some kind.
上一门计算机课程可能对你有利。
3. This printer has several advantages over conventional printers.
与传统打印机相比，这种打印机具有多项优点。
"
fragment,"n.碎片,小部分,片断
","1. glass fragments
玻璃碎片
"
consume,"v.消耗；消费；吃；喝
","1. Only 27% of the paper we consume is recycled.
我们消耗的纸张只有 27% 得到回收利用。
2. A smaller vehicle will consume less fuel.
汽车小耗费燃料也少。
3. Alcohol may not be consumed on the premises.
场内禁止饮酒。
"
arithmetic,"n.算术，四则运算
","1. ...teaching the basics of reading, writing and arithmetic.
…教授读、写、算的基本知识。
"
fisherman,"n.渔夫，捕鱼人
","1. The Algarve is a paradise for fishermen whether river anglers or deep-sea fishermen.
阿尔加维对河边的垂钓者或深海的渔民都是一个天堂。
"
succeed,"v.成功；接替；继…之后
","1. She wanted to be the first woman to climb Mount Qomolangma, and she almost succeeded.
她本想成为第一位登上珠穆朗玛峰的女性，而且差一点就成功了。
2. Reeves will succeed Segal as Speaker of the House.
里夫斯将接替西格尔担任议院议长。。
"
locate,"v.查出,探出,查找…地点；使…坐落于,位于
","1. We couldn’t locate the source of the radio signal.
我们无法确定无线电信号的来源。
2. The business is located right in the center of town.
这家商店就在市中心。
"
portion,"n.一部分,一份
","1. The front portion of the rocket breaks off.
火箭的前部脱落了。
"
capsule,"n.胶囊；太空舱
","1. ...cod liver oil capsules.
…鳕鱼鱼肝油胶囊。
2. a space capsule orbiting the Earth
沿地球轨道飞行的太空舱
"
low,"adj.低，矮；低级的，下层的，卑贱的；低声的
","1. The country, with its low, rolling hills was beautiful.
这一地区山势低缓，连绵起伏，非常美丽。
2. jobs with low status
社会地位低下的职业
3. The volume is too low – turn it up.
音量太低了——开响一点。
"
represent,"v.代表,代理；描述,表示
","1. Mr Kobayashi was chosen to represent the company at the conference.
小林先生被选中代表公司出席会议。
2. The article represents the millionaire as a simple family man.
文章把这位百万富翁描述成一个简朴的居家男人。
"
competent,"adj.有能力的，能胜任的
","1. A competent mechanic should be able to fix the problem.
一名合格的机修工应该能够解决这个问题。
"
vacuum,"n.真空
","1. Wind is a current of air caused by a vacuum caused by hot air rising.
风是由热空气上升产生真空而引起的空气流动。
"
manifest,"v.表明,证明,显示
adj.明显的
","1. The shareholders have manifested their intention to sell the shares.
股东们表明了要出售股票的意图。
2. a manifest error of judgment
明显的判断错误
"
evolve,"v.进化；(使)发展;(使)进展
","1. Animals have evolved camouflage to protect themselves from predators.
动物进化形成了伪装，以保护自身不被捕食性动物所捕食。
2. Businesses need to evolve rapidly.
各项业务需要快速发展。
"
furniture,"n.家具
","1. I helped him choose the furniture for his house.
我帮他挑选房子里用的家具。
2. I can’t think of a single piece of furniture in my house that I bought new.
我想不出家里有哪件家具是新买的。
3. office furniture
办公室家具
"
composition,"n.组成,成分；〔音乐、诗歌或文字〕作品；作文
","1. Some minerals have complex chemical compositions.
有些矿物的化学构成很复杂。
2. Mozart's compositions are undoubtedly among the world's greatest.
莫扎特的作品无疑位列于世界上最伟大的作品之中。
3. We had to write a composition on the subject ""My Pet.""
我们得就“我的宠物”这个主题写一篇作文。
"
director,"n.导演；指导者,主任
","1. ""Cut!"" the director yelled. ""That was perfect.""
“停！”导演叫道。“太好了！”
2. the director of education
教育局局长
"
manager,"n.经理,管理人
","1. one of our regional managers
我们的一位地区经理
2. a middle manager in a computer company
一家计算机公司的中层管理人员
"
synthesis,"n.(pl.syntheses)综合,合成
","1. a synthesis of Eastern and Western philosophical ideas
东西方哲学思想的结合
"
conspicuous,"adj.显眼的,明显的
","1. The notice must be displayed in a conspicuous place.
通告一定要贴在显眼的地方。
2. a bird with conspicuous white markings
一种长有醒目白斑的鸟
3. I felt very conspicuous in my red coat.
我穿着红外套，感觉自己十分显眼。
"
tempo,"n.(音乐的)速度；节奏,行进速度
","1. In a new recording, the Boston Philharmonic tried the original tempo.
在一张新唱片中，波士顿爱乐乐团尝试了音乐原本的节奏。
2. the easy tempo of island life
岛上生活的轻松节奏
"
thermometer,"n.温度计
","1. The thermometer registered over 100˚C.
温度计显示高于100摄氏度。
"
intelligence,"n.智力,聪明;理解力；情报,消息,报导
","1. To be good at the game, you need a reasonable level of intelligence.
要想把这种游戏玩好，需要一定的智力水平。
2. According to our intelligence, further attacks were planned.
根据我们的情报，还会有更进一步的攻击。
"
ecology,"n.生态学
","1. the natural ecology of the Earth
地球的自然生态
2. plant ecology
植物生态学
"
doom,"n.厄运,劫数
v.注定,命定
","1. A sense of impending doom (= coming very soon ) gripped her.
她心头被一种大难临头的感觉所笼罩。
2. Thousands of soldiers met their doom (= died ) on this very field.
数千名士兵就是在这个战场上丧生的。
3. The plan was doomed from the start .
这个计划一开始就注定要失败。
"
insulate,"v.使绝缘,使绝热；隔离,孤立
","1. an insulated attic
隔热[隔音]的阁楼
2. They wonder if their community is no longer insulated from big city problems.
他们想知道他们的社区是否不再与那些大城市的问题隔离。
"
March,"n.三月(略作 Mar.)
","1. I flew to Milwaukee in early March.
我3月初飞到了密尔沃基。
"
policy,"n.政策,方针
","1. ...plans that include changes in foreign policy and economic reforms.
…包括外交政策调整和经济改革的计划。
"
pronoun,"n.代词
",
astronomy,"n.天文学
","1. Do you know anything about astronomy?
你懂天文学吗?
"
conduct,"n.行为,品行
v.指挥(乐队)；传导；引导
","1. The Senator’s conduct is being investigated by the Ethics Committee.
该参议员的行为正受到道德委员会的调查。
2. an inquiry into the conduct of the police
对警方行为的调查
3. his arrest for disorderly conduct
他因妨害治安行为而遭逮捕
4. The orchestra is conducted by John Williams.
这支管弦乐队由约翰•威廉斯指挥。
5. Aluminium, being a metal, readily conducts heat .
铝这种金属导热性能很好。
6. a conducted tour of Berlin
在导游陪同下的柏林之行
"
fiction,"n.小说；虚构,编造
","1. romantic fiction
爱情小说
2. historical fiction
历史小说
3. preserving the fiction of his happy childhood
保持他那快乐童年的假象
"
specimen,"n.标本,样本
","1. a blood specimen
血样
"
successful,"adj.圆满的；顺利的；成功的
","1. The operation was successful.
手术成功了。
2. a highly successful (= very successful ) meeting
十分成功的会议
"
architecture,"n.建筑学；建筑风格，建筑设计
","1. He studied architecture at university.
他在大学里读的是建筑学。
2. the architecture of Venice
威尼斯的建筑风格
"
department,"n.部,局,处,科,部门;系,学部
","1. the personnel department
人事部
2. the English department
英语系
"
blow,"v.吹；〔风〕吹，刮；吹奏
n.打击
","1. He blew the smoke right in my face.
他直对着我的脸吐烟。
2. It was blowing from an easterly direction.
这是从东面吹过来的。
3. The whistle blew and the train slid forward.
汽笛吹响，火车向前滑动。
4. His mother’s death was a shattering blow .
他母亲的死是一个沉重的打击。
"
dignity,"n.(举止,态度等的)庄严,端庄；尊贵，尊严
","1. an appearance of quiet dignity
肃穆的神态
2. Prisoners should be treated with regard for human dignity .
对待囚犯应该考虑到人的尊严。
"
fur,"n.毛,毛皮
","1. a fur coat
裘皮大衣
"
pray,"v.祈祷,祈求；请求,恳求,祈求
","1. They went to the mosque to pray.
他们去清真寺祷告。
2. I hope and pray that this is a misunderstanding.
我非常希望这是个误会。
"
carrot,"n.胡萝卜
","1. grated carrots
磨碎的胡萝卜
2. carrot juice
胡萝卜汁
"
contemplate,"v.考虑；深思；细想；注视，凝视
","1. He had even contemplated suicide.
他甚至想过自杀。
2. Jack went on vacation to contemplate his future.
杰克去度假，仔细思考一下他的未来。
3. He contemplated her with a faint smile.
他微微含笑注视着她。
"
gradual,"adj.逐渐的,逐步的
","1. There has been a gradual change in climate.
气候渐渐发生了变化。
2. the gradual decline in manufacturing industry
制造业的逐渐衰退
3. Education is a gradual process.
教育是一个循序渐进的过程。
"
advisable,"adj.可取的，适当的，明智的
","1. Regular medical check-ups are advisable.
定期检查身体是明智的。
2. It is advisable to write a career objective at the start of your resume.
简历开头最好写上职业目标。
"
report,"n.报告,汇报
v.报道
","1. Government officials have denied reports of rebel advances.
政府官员否认了有关叛军正在推进的传言。
2. We aim to report the news as fairly as possible.
我们力求公正地报道这一新闻。
"
upgrade,"v.提升,使升级
","1. Helicopters have been upgraded and modernized.
直升机已经升级并且装上现代化设备。
"
temperament,"n.气质，性格，性情
","1. His impulsive temperament regularly got him into difficulties.
他容易冲动的性格经常使他陷入困境。
"
generation,"n.文释义：一代人；产生
","1. Like most of my generation, I had never known a war.
和我们这一代的大多数人一样，我并没有经历过战争。
2. In my generation the divorce rate is very high.
我们这一代人离婚率很高。
3. the need to preserve the planet for future generations
为子孙后代保护地球的必要性
4. The story has been handed down from generation to generation.
这个故事是一代一代传下来的。
5. the generation of electricity
发电
"
discovery,"n.被发现的事物；发现
","1. The Hubble Telescope allowed astronomers to make significant discoveries about our galaxy.
哈勃望远镜使天文学家对我们的银河系有了重大发现。
2. I felt I'd made an incredible discovery.
我感到自己有了一个惊人的发现。
"
barrier,"n.障碍；栅栏,障碍(物)
","1. He advocated the removal of trade barriers.
他提倡消除贸易壁垒。
2. Crowds burst through the barriers and ran onto the pitch.
人群冲破围栏跑进球场。
"
review,"v.回顾,复习
n.评论
","1. a journalist who will review the events of the past six months
将对过去六个月里所发生的事件进行回顾的记者
2. The film opened to rave reviews (= reviews that praised it a lot ) .
这部电影好评如潮。
"
model,"n.模型；样式,型号；模特
v.当模特；作为模特向顾客展示
","1. a working model (= one with parts which move ) of a steam engine
蒸汽机车的活动模型
2. Our dishwasher is the latest model (= newest design ) .
我们的洗碗机是最新的型号。
3. a top fashion model
顶级时装模特
4. Claire modelled for a few years when she was in her twenties.
克莱尔在二十几岁时做过几年模特。
"
invite,"v.邀请,招待
","1. I’m afraid I wasn’t invited.
恐怕我没有受到邀请。
"
congratulation,"n.(on)祝贺
","1. Congratulations on a superb performance!
对精彩的演出表示祝贺！
"
dividend,"n.红利，股息
","1. The first quarter dividend has been increased by nearly 4 percent.
第一季度的股息增加了近4％。
"
separate,"adj.分离的,分开的
","1. The gym and the sauna are in separate buildings.
健身房和桑拿浴室在不同的大楼里。
"
superficial,"adj.肤浅的,浅薄的；表面的
","1. They only have the most superficial understanding of prison life.
他们对监狱生活只有最粗浅的了解。
2. Beneath his refined manners and superficial elegance lay something treacherous.
在他温文尔雅、貌似高贵的举止下隐藏着某种奸诈。
"
precise,"adj.精确的,准确的
","1. precise sales figures
准确的销售数据
2. It was difficult to get precise information.
很难得到确切的消息。
3. ‘She’s a lot older than you, isn’t she?’ ‘Fifteen years, to be precise .’
“她比你大很多，是不是？”“准确地说，大了15岁。”
"
hollow,"adj.空的,中空的;；空洞的,无价值的
v.使〔表面〕凹陷,挖空,凿空
","1. a hollow tree
空心树
2. Any threat to bring in the police is a hollow one.
任何要叫警察来的威胁都是虚张声势。
3. The steps were hollowed by centuries of use.
经过几个世纪的踩踏，台阶上出现了凹痕
"
member,"n.成员,会员
","1. The majority of union members voted in favour of a strike.
大多数工会成员投票赞成罢工。
"
sometimes,"adv.不时，有时，间或
","1. I sometimes have to work late.
我有时得工作到很晚。
2. Sometimes, Grandma would tell us stories about her childhood in Italy.
有时候，祖母会跟我们讲讲她儿时在意大利的经历。
3. ‘Do you ever wish you were back in Japan?’ ‘Sometimes. Not very often.’
“你有没有想过希望回到日本？”“有时候吧，但不经常这么想。”
4. The journey takes an hour, sometimes even longer.
路上需要一小时，有时甚至更长。
"
discover,"v.发现
","1. The body was discovered in a field.
尸体是在一块田地里找到的。
2. Forest Service crews often discover campfires that have not been put out completely.
林务局工作人员常常发现未完全熄灭的营火。
"
recipient,"adj.接受的,感受性强的
n.接受者
","1. the recipient of the Nobel Peace Prize
诺贝尔和平奖得主
"
spokesman,"n.发言人
","1. a White House spokesman
白宫发言人
"
circumstance,"n.情况，情形
","1. The Soviet Union had been forced by circumstances to sign a pact with Nazi Germany.
苏联为形势所迫同纳粹德国签订了一项条约。
2. I can’t imagine a circumstance in which I would be willing to steal.
我无法想象我在什么情况下会愿意去偷东西。
"
agent,"n.代理人；代理商
","1. Our agent in Rio deals with all our Brazilian business.
我们在里约热内卢的业务代表处理我们在巴西的全部业务。
"
indispensable,"adj.(to,for)必不可少的,必需的
","1. Mobile phones have become an indispensable part of our lives.
移动电话已经成为我们生活中的必需品。
"
appreciate,"v.为...表示感激，感谢；欣赏，赏识
","1. Thanks ever so much for your help, I really appreciate it.
多谢你的帮助，我真的很感激。
2. I appreciate your concern , but honestly, I’m fine.
谢谢你关心，不过说真的，我很好。
3. I’d appreciate it if you let me get on with my job.
如果你能让我继续工作，我会非常感激。
4. Her abilities are not fully appreciated by her employer.
她的才干没有得到雇主的充分赏识。
5. I’m not an expert, but I appreciate fine works of art.
我不是专家，但我欣赏优秀的艺术作品。
"
monthly,"adj.每月的
adv.每月一次,按月
n.月刊
","1. The mortgage is payable in monthly instalments.
抵押贷款每月分期偿还。
2. a monthly publication
月刊
3. In some areas the property price can rise monthly.
有些地区，房价能每月都涨。
4. They meet monthly to discuss progress.
他们每月碰一次头讨论进展情况。
5. a leading women’s monthly
一本主要的女性月刊
"
amid,"prep.在…中间，在…之中，被…围绕
","1. He sat amid the trees.
他坐在树丛中。
"
isolate,"v.隔离,孤立
","1. The town was isolated by the floods.
洪水使该镇与外界隔绝。
2. The US has sought to isolate Cuba both economically and politically.
美国一直想在经济和政治上孤立古巴。
"
poll,"n.民意测验
v.获得…选票
","1. A recent poll found that 80% of Californians support the governor.
最近的一项民意调查发现80%的加利福尼亚人支持州长。
2. Polls indicate that education is the top issue with voters.
民意调查显示，教育是选民心中的头等大事。
3. Labour is ahead in the polls.
工党在民意调查中处于领先地位。
4. The latest public opinion poll showed that 25% of us consider ourselves superstitious.
最新的民意调查显示我们中有25%的人认为自己迷信。
5. Labour polled just 4% of the vote.
工党只得到4%的选票。
"
cognitive,"adj.认知的，认识能力的
","1. cognitive psychology
认知心理学
"
sequence,"n.顺序，次序
","1. Be careful to perform the actions in the correct sequence .
注意要按正确的顺序来完成动作。
"
concept,"n.概念，观念，设想
","1. a new concept in business travel
商务旅行的新理念
2. our basic concepts of decent human behaviour
我们对得体的人类行为的基本观念
3. It’s very simple, once you grasp the concept .
你一旦掌握了这个概念之后就很简单了。
"
solve,"v.解决,解答
","1. Charlie thinks money will solve all his problems.
查理认为钱能解决他所有的问题。
2. the best way of solving our dilemma
解决我们两难处境的最佳办法
"
barren,"adj.贫瘠的；不育的；(植物)不结果的
","1. Thousands of years ago the surface was barren desert.
很久很久以前，地面还是一片荒漠。
"
revolve,"v.(使)旋转
","1. The wheel began to revolve.
轮子开始旋转。
2. The restaurant slowly revolves, giving excellent views of the city.
餐厅缓缓旋转，城市美景尽收眼底。
3. Using graphics software, you can revolve the image on the screen.
使用绘图软件可以旋转屏幕上的图像。
"
circuit,"n.环行,环形道路；电路,线路
","1. We did a circuit of the old city.
我们绕着老城走了一圈。
2. an electrical circuit
电路
"
fraction,"n.小部分,一点儿；分数
","1. I got these shoes at a fraction of the original price
我以原价的一个零头买到了这双鞋子。
2. The students had a grasp of decimals, percentages and fractions.
学生们掌握了小数、百分数和分数。
"
sane,"adj.心智健全的,神志清醒的；明智的
","1. He seems perfectly sane (= completely sane ) to me.
在我看来他神志完全正常。
2. No sane person would want to kill a baby.
神志正常的人不会去杀一个婴儿。
3. a sane and sensible approach to gun control
一个明智而又合理的枪支管制方法。
"
carry,"v.运送,搬运
","1. The ship was carrying drugs.
这艘船上载有毒品。
2. There are more airplanes carrying more people than ever before.
飞机数量和载客数量都是前所未有的。
"
membership,"n.会员资格,成员资格
","1. You should carry your membership card with you at all times.
你应该随身携带会员卡。
2. Membership fees are being increased this year.
会费今年提高了。
"
geology,"n.地质(学)
","1. He was visiting professor of geology at the University of Georgia.
他曾是佐治亚大学的地质学客座教授。
"
certain,"adj.一定的,确信的,可靠的
","1. I felt certain that I’d passed the test.
我感觉自己肯定通过这次测验了。
"
indicate,"v.表明，显示；指出,指示；表明,暗示
","1. The study indicates a connection between poverty and crime.
研究显示贫穷和犯罪有关联。
2. That’s her,’ said Toby, indicating a girl on the other side of the room. “
“就是她。”托比指着房间另一端的一个女孩说。
3. Mr. Rivers has indicated that he may resign.
里弗斯先生已经暗示他可能要辞职。
"
monotonous,"adj.单调的,无变化的
","1. a monotonous diet
单调的饮食
2. a little boy who wet his bed with monotonous regularity
一个老是尿床的小男孩
"
miracle,"n.奇迹,令人惊奇的人(或事)
","1. It’s a miracle you weren’t killed!
你没有死真是奇迹！
2. By some miracle, we managed to catch the plane.
我们奇迹般地赶上了飞机。
3. the economic miracle of the 1950s
20世纪50年代的经济奇迹
4. She’s our miracle baby.
她是我们的奇迹宝宝。
"
deduct,"v.扣除
","1. The company deducted this payment from his compensation.
公司从他的补偿金中扣除了这笔款项。
"
produce,"v.引起，导致；制造；制作；创作
n.产品
","1. New drugs are producing remarkable results .
新药正在产生显著的效果。
2. a rise in sea level produced by climatic change
由气候变化引起的海平面升高
3. As a policy, it did not produce the desired effect .
作为一项政策，它并未产生预期的效果。
4. The factory produces an incredible 100 cars per hour.
那家工厂一小时生产100辆汽车，令人难以置信。
5. fresh local produce
新鲜的本地农产品
"
temptation,"n.引诱，诱惑；诱惑物
","1. Resist the temptation to buy the item until you’re certain you need it.
要抵挡住购买的诱惑，除非你确有需要。
2. I finally gave in to the temptation and had a cigarette.
我最终还是屈从诱惑，抽了一支烟。
"
prospect,"n.前途,展望；前景
","1. I had no job, no education, and no prospects .
我没有工作，没受过什么教育，前途渺茫。
2. The prospect of marriage terrified Alice.
想到要结婚，艾丽斯害怕极了。
"
simultaneous,"adj.同时的,同时存在的
","1. They grabbed each other’s hands in simultaneous panic.
他们俩同时惊慌起来，相互抓住对方的手。
2. Up to twenty users can have simultaneous access to the system.
最多可有20名用户同时登该系统。
3. The speeches will be broadcast live, with simultaneous translation (= immediate translation, as the person is speaking ) into English.
这些演讲将作现场直播，并配有英语同声传译。
"
subsidy,"n.补助金；津贴费
","1. European farmers are planning a massive demonstration against farm subsidy cuts.
欧洲的农场主们正在策划一场反对削减农场补贴的大游行。
"
underestimate,"v.低估，看轻
","1. None of us should ever underestimate the degree of difficulty women face in career advancement.
我们谁都不应低估妇女在职业发展中所面临的困难程度。
"
obligation,"n.义务,责任
","1. Employers have an obligation to treat all employees equally.
雇主有责任对所有员工一视同仁。
2. Parents are under a legal obligation to educate their children.
家长对子女的教育负有法律责任。
3. You are under no obligation to buy any more books.
你不必非要买更多的书。
4. Greater resources are needed to meet these obligations.
履行这些义务需要更多的资源。
5. the rights and obligations imposed on them by treaties
条约给他们规定的权利和义务
6. The government must pay for health care for war veterans – it is an obligation we owe to them.
政府必须为退伍军人支付医疗保健费用——这是我们对他们负有的义务。
7. a moral obligation to help the poor
帮助穷人的道德义务
8. He stayed with the team out of a sense of obligation.
他出于责任感而留在队里。
"
