word,trans,example
husband,"v.节约地使用（或管理）
n.丈夫
","1. Have you met my husband Roy?
你见过我的丈夫罗伊吗？
"
sack,"n.麻布袋；洗劫
v.解雇；把……装入袋；劫掠
","1. the sack of Rome in 1527
1527年对罗马城的劫掠
"
analytic,"adj.分析的；解析的；善于分析的
","1. For the most part, these same forces have been a boon, so far, to Americans who have a good education and exceptional creative talents or analytic skills.
而对于那些受到良好教育，具有特殊的创新能力或分析技能的人们来说，同样的情况在很大程度上是一种恩惠。
2. Once we have, through analytic meditation, come to an insight or deeper understanding, then we should cease our analysis and begin the practice of ""calm abiding.
一旦我们通过分析冥想获得了洞察力和更深的理解，那么我们应该停止分析，转而开始练习“平静持久”。
"
sponge,"v.抹掉；用海绵擦拭；讨得
n.海绵；海绵状物
","1. Clean the rug by sponging it gently.
用湿布轻轻擦洗以清洁小地毯。
"
defence,"n.防御；防卫；答辩；防卫设备
","1. Liz dropped her defences and began to relax.
利兹放下防备心理，开始放松了。
"
treaty,"n.条约，协议；谈判
","1. Both sides have agreed to sign the treaty .
双方都同意签署该条约。
2. The peace treaty ends nearly four years of violence.
该和平条约结束了将近四年的暴力。
"
disable,"v.使失去能力；使残废；使无资格
","1. Carter was permanently disabled in the war.
卡特在那场战争中成了终生残废。
"
handy,"adj.便利的；手边的，就近的；容易取得的；敏捷的
n.(Handy)人名；(英)汉迪
","1. I always keep my gun handy just in case.
我总是随身带着枪以防万一。
2. Do you have a piece of paper handy?
你手边有纸吗？
"
export,"n.输出，出口；出口商品
v.输出物资
","1. Wheat is one of the country’s main exports.
小麦是该国的主要出口商品之一。
"
tropic,"n.热带；回归线
adj.热带的
","1. plant species found in the tropics
见于热带地区的植物物种
"
urban,"adj.城市的；住在都市的
n.(Urban)人名；(西)乌尔万；(斯洛伐)乌尔班；(德、俄、罗、匈、塞、波、捷、瑞典、意)乌尔班；(英)厄本；(法)于尔邦
","1. unemployment in urban areas
城市地区的失业状况
2. the deprived sections of the urban population
城市人口中的贫困群体
"
metre,"n.米；公尺；韵律
","1. She's running the 1,500 metres here.
她正在这儿跑1500米。
"
reckon,"v.测算，估计；认为；计算
","1. ‘There’s nothing we can do about it.’ ‘You reckon (= used to express doubt or disagreement ) ?’
“这件事我们无能为力。”“是吗？”
"
cooperative,"adj.合作的；合作社的
n.合作社
","1. He was doing his best to be cooperative.
他在尽全力配合。
2. a cooperative witness
肯配合的目击者
"
amend,"v.修改；改善，改进
n.(Amend)人名；(德、英)阿门德
","1. The law was amended to include women.
该法律经修改把女性也包括在内。
2. The defendant later amended his evidence.
被告后来修改了证词。
3. ‘Steve stole it – or rather borrowed it,’ he amended.
“史蒂夫偷的——应该说是借的。”他改口道。
"
idiom,"n.成语，习语；土话
","1. the new musical idiom
新的音乐风格
"
door,"n.门；家，户；门口；通道
","1. Could you open the door for me?
请你帮我开门好吗？
2. The door flew open and Ruth stormed in.
门一下子打开了，露丝气冲冲地跑了进来。
3. Don’t forget to lock the garage door.
别忘了把车库的门锁上。
"
luggage,"n.行李；皮箱
","1. They searched his luggage for illegal drugs.
他们搜查他的行李看是否藏有毒品。
"
inclusive,"adj.包括的，包含的
","1. Not everyone shares his vision of an inclusive America.
不是所有人都同意他的观点，认为美国是个包容性很强的国家。
"
rouse,"v.唤醒；激起，使振奋；惊起
n.觉醒；奋起
","1. His banging roused the neighbours.
他重重的关门声把邻居都吵醒了。
"
button,"n.按钮；纽扣
v.扣住；扣紧；在…上装纽扣
","1. small pearl buttons
小的珍珠纽扣
2. A button was missing from his shirt.
他的衬衫上掉了一颗纽扣。
3. She undid (=  unfastened  ) the buttons of her blouse.
她解开衬衫的纽扣。
"
realm,"n.领域，范围；王国
","1. the spiritual realm
精神领域
"
feast,"v.享受；款待，宴请
n.筵席，宴会；节日
","1. Only a few feet away, their captors feasted in the castle's banqueting hall.
仅仅几英尺外，俘获他们的人在城堡的宴会厅里大吃大喝。
"
prosper,"v.繁荣，昌盛；成功
n.(Prosper)人名；(英、德、罗、法)普罗斯珀
","1. His business continued to prosper.
他的生意持续兴隆。
"
idiot,"n.笨蛋，傻瓜；白痴
","1. It was all your fault, you idiot.
全是你的错，你这笨蛋。
"
tramp,"v.流浪；践踏，踩；脚步沉重地行走
n.流浪者；沉重的脚步声；徒步旅行
","1. He tramped the streets looking for work.
他在街上四处奔走，寻找工作。
"
knob,"n.把手；瘤；球形突出物
vi.鼓起
vt.使有球形突出物
","1. He thought the door was locked, but he turned the knob and the door opened.
他本以为门是锁住的，但是转了一下把手门就开了。
2. a brass door knob
黄铜门把手
3. I adjusted the volume knob and sat down.
我调节好音量旋钮，坐了下来。
"
wonderful,"adj.极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
","1. It’s wonderful what doctors can do nowadays.
如今医生的本领着实令人称奇。
"
waterproof,"adj.防水的，不透水的
v.使防水
n.防水材料
","1. a waterproof jacket
防水上衣
2. waterproof adhesive
防水黏合剂
3. Rub the wax in to make the shoe waterproof.
在鞋子上抹点蜡使其防水。
"
ox,"n.牛；公牛
",
commend,"v.推荐；称赞；把…委托
","1. The paper was highly commended in the UK Press Awards.
该报获得了“英国新闻奖”的高度褒奖。
"
inertia,"n.[力] 惯性；惰性，迟钝；不活动
","1. political inertia
政治上的保守
"
melon,"n.瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
","1. ...some juicy slices of melon.
…几片多汁的甜瓜。
"
gramme,"n.克
",
fireman,"n.消防队员；救火队员；锅炉工
",
industrialize,"v.使工业化
","1. Energy consumption rises as countries industrialize.
能源消耗随着各国工业化而增加。
"
warfare,"n.战争；冲突
","1. the realities of modern warfare
现代战争的真实面貌
"
accumulate,"v.累积；积聚
","1. It is unjust that a privileged few should continue to accumulate wealth.
少数特权阶级继续积聚财富，这是不公平的。
"
crew,"n.队，组；全体人员，全体船员
v.一起工作
","1. The plane crashed, killing two of the crew and four passengers.
飞机坠毁，造成两名机组人员和四名乘客死亡。
2. a crew member
一名机组人员
"
moss,"n.苔藓；泥沼
vt.使长满苔藓
","1. ...ground covered over with moss.
…长满青苔的地面。
"
necessity,"n.需要；必然性；必需品
","1. She saw books as a necessity, not a luxury.
她视书籍为必需品而非奢侈品。
2. A car is an absolute necessity if you live in the country.
你要是住在乡下，绝对需要有辆汽车。
"
utmost,"n.极限；最大可能
adj.极度的；最远的
","1. The medical staff did their utmost(= tried as hard as they could ) to save the patient’s life.
医护人员竭尽全力挽救那位病人的生命。
2. It is a matter of the utmost urgency to find out what has happened to these people.
当务之急是弄清楚这些人出了什么事。
3. Security matters are treated with the utmost seriousness.
安全问题受到极为严肃的对待。
"
detector,"n.探测器；检测器；发现者；侦察器
","1. a smoke detector
烟雾探测器
2. a metal detector
金属探测器
"
obsession,"n.痴迷；困扰；[内科][心理] 强迫观念
","1. Gambling became an obsession, and he eventually lost everything.
他迷上赌博，最后失去了一切。
2. The game pachinko became a national obsession.
弹珠机游戏已经风靡全国。
3. He has an enthusiasm for art, to the point of obsession in my opinion.
他对艺术很热衷，在我看来已经到了痴迷的程度。
4. She looked after him with a devotion bordering on obsession.
她尽心尽力地照顾他，简直到了沉迷的地步。
"
southwest,"n.西南方
adj.西南的
adv.往西南；来自西南
","1. ...some 500 kilometres to the southwest of Johannesburg.
…约翰内斯堡西南约五百公里。
2. We took a plane southwest across the Anatolian plateau to Cappadocia.
我们乘飞机朝西南方,越过安纳托利亚高原,飞往卡帕多细亚。
"
vegetarian,"n.素食者；食草动物
adj.素食的
","1. Our youngest daughter is a vegetarian.
我们的小女儿是个素食主义者。
2. dishes suitable for vegetarians
适合素食者的菜肴
3. I’m thinking about becoming a vegetarian.
我在考虑戒除荤食。
4. Yasmin sticks to a strict vegetarian diet.
亚斯敏坚持一种严格的纯素饮食。
"
inhale,"v.吸入；猛吃猛喝
","1. It is dangerous to inhale ammonia fumes.
吸入氨气是很危险的。
2. Myra lit another cigarette and inhaled deeply  (= breathed in a lot of smoke ).
迈拉又点上一支烟，深深地吸了一口。
"
porch,"n.门廊；走廊
","1. He was standing on the porch, waving as we drove away.
我们开车离开的时候，他站在走廊上向我们挥手。
"
crawl,"v.爬行；匍匐行进
n.爬行；养鱼池；匍匐而行
","1. The floor was crawling with ants.
地板上爬满了蚂蚁。
"
catastrophe,"n.大灾难；大祸；惨败
","1. From all points of view, war would be a catastrophe.
从各个方面来看，战争都会是一场灾难。
"
delicious,"adj.美味的；可口的
","1. ‘The meal was absolutely delicious,’ she said politely.
“这顿饭味道好极了。” 她礼貌地说道。
2. the delicious smell of new-mown grass
新修剪的草坪的芳香
"
malignant,"adj.[医] 恶性的；有害的；有恶意的
n.保王党员；怀恶意的人
","1. She developed a malignant tumour in her breast.
她的乳房长了个恶性肿瘤。
"
violin,"n.小提琴；小提琴手
",
plane,"n.飞机；平面；程度，水平
v.刨；乘飞机旅行；翱翔
adj.平的；平面的
","1. It is a big airline with a large fleet of planes.
这是一家大航空公司，拥有庞大的机群。
2. It’s much quicker to go by plane .
乘飞机去会快很多。
3. She slept on the plane .
她在飞机上睡着了。
"
item,"n.条款，项目；一则；一件商品（或物品）
adj.又，同上
v.记下；逐条列出
","1. He opened the cardboard box and took out each item.
他打开纸板箱把里面的物品一一拿出来。
2. The store is having a sale on furniture and household items.
这家商店正在减价出售家具和家居用品。
3. luxury items such as exotic spices and perfumes
异国香料和香水之类的奢侈品
4. The original 1965 bottle is now a collector’s item (= one of a set of objects people like to collect because they are interesting or valuable ).
这瓶1965年生产的原装酒现在是收藏品。
"
puff,"v.喷出，张开；使膨胀；夸张；使骄傲自满
n.粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
","1. Steam puffed out of the chimney.
蒸汽从烟囱里一股一股地喷出来。
2. The boiler was puffing thick black smoke.
锅炉一股股地冒出浓浓的黑烟。
3. Don’t puff smoke into my face.
别把烟朝我脸上喷。
4. I took a puff on the cigarette and started coughing.
我抽了一口烟就开始咳嗽起来。
"
cousin,"n.堂兄弟姊妹；表兄弟姊妹
","1. My cousin Mark helped me to bring in the bags.
我表弟马克帮我把包提了进来。
"
bracket,"n.支架；括号；墙上凸出的托架
v.括在一起；把…归入同一类；排除
","1. Fix the beam with the brackets and screws.
用支架和螺丝固定横梁。
2. The Magi, Brahmins, and Druids were bracketed together as men of wisdom.
三贤人、婆罗门、德鲁伊特教僧侣一起被归为智者。
"
fatigue,"n.疲劳，疲乏；杂役
v.使疲劳；使心智衰弱
adj.疲劳的
","1. {""COLLOINEXA"":[""metal fatigue""]}
金属疲劳
"
versatile,"adj.多才多艺的；通用的，万能的；多面手的
","1. a very versatile performer
多才多艺的表演者
2. a more versatile workforce
技术更全面的劳动力
"
trail,"v.追踪；拖；蔓延；落后于
n.小径；痕迹；尾部；踪迹；一串，一系列
","1. A plane trailing a banner was circling overhead.
一架飞机拖着横幅标语在上空盘旋。
"
lavatory,"n.厕所，盥洗室
","1. ...the ladies' lavatory.
…女厕所。
"
lover,"n.爱人，恋人；爱好者
","1. He killed his wife’s lover.
他杀了妻子的情人。
2. Nicola and I were lovers.
我和尼古拉以前是情人。
3. a pair of young lovers
一对年轻的情侣
"
stove,"n.火炉；窑；温室
vt.用火炉烤
","1. a wood-burning stove
烧木柴的火炉
"
ink,"v.签署；涂墨水于
n.墨水，墨汁；油墨
","1. The two companies have inked a deal.
这两家公司签署了一项协议。
"
levy,"n.征收；征兵，征税
v.征收（税等）；征集（兵等）
","1. ...an annual levy on all drivers.
…向所有司机征收的年税。
"
moon,"n.月亮；月球；月光；卫星
v.闲荡；出神
","1. the craters on the surface of the moon
月球表面的环形山
2. The Americans landed on the Moon in 1969.
美国人于1969年登上月球。
3. The moon appeared from behind a cloud.
月亮从云后钻了出来。
4. The moon rose into the sky.
月亮升上天空。
5. The moon was shining in the sky.
月儿当空照。
"
outfit,"n.机构；用具；全套装备
v.得到装备
","1. She bought a new outfit for the party.
她为了这次派对买了套新衣服。
2. a cowboy outfit
一套牛仔服装
"
dome,"n.圆屋顶
vi.成圆顶状
vt.加圆屋顶于…上
","1. ...the dome of the Capitol.
…国会大厦的穹顶。
"
blur,"v.涂污；使…模糊不清；使暗淡；玷污
n.污迹；模糊不清的事物
","1. The street lights were blurred by the fog.
街灯在迷雾的笼罩下十分昏暗。
2. Many of the details in the picture are blurred.
照片中的许多细节部分都模糊了。
"
drift,"n.漂流，漂移；趋势；漂流物
v.漂流，漂移；漂泊
","1. Smoke drifted up from the jungle ahead of us.
我们前方的丛林里有烟升起。
"
microscope,"n.显微镜
","1. The slightest movement will defocus the microscope.
最轻微的运动都会使显微镜散焦。
2. The microscope magnified the object two hundred times.
这架显微镜把实物放大了200倍。
3. The microscope capacitates small objects to be observed.
显微镜可以观察到微小的物体。
"
paperback,"n.平装本；廉价本
vt.以平装本出版
adj.纸面装订的；纸面平装本书籍的
","1. She said she would buy the book when it comes out in paperback.
她说等那本书的平装本面市后她会买一本。
"
agony,"n.苦恼；极大的痛苦；临死的挣扎
","1. the agony of arthritis
关节炎的剧烈疼痛
"
crazy,"adj.疯狂的；狂热的，着迷的
","1. The neighbours must think we’re crazy.
邻居一定会认为我们疯了。
2. It’s an absolutely crazy idea .
那绝对是个荒唐的想法。
3. I know this idea sounds crazy , but it may be worth a try.
我知道这个主意听起来很荒唐，但也许值得一试。
4. He often works 12 hours a day – it’s crazy .
他常常一天工作12个小时——简直疯了。
"
corrode,"v.侵蚀；损害
","1. Acidic water will corrode the pipes.
酸性水会腐蚀管子。
"
ample,"adj.丰富的；足够的；宽敞的
n.(Ample)人名；(西)安普尔
","1. an ample bosom
丰满的胸部
"
radiate,"v.辐射；传播；流露；发射；广播
adj.辐射状的，有射线的
","1. He radiated calm confidence.
他身上散发着沉稳自信的气质。
"
statute,"n.[法] 法规；法令；条例
","1. Protection for the consumer is laid down by statute (= established by law ) .
保障消费者权益已有法律明文规定。
"
dispose,"v.处理；处置；安排
n.处置；性情
","1. Chinese vases are disposed around the gallery.
中国花瓶摆放在展馆四周。
"
expel,"v.驱逐；开除
","1. More than five-thousand high school students have been expelled for cheating.
五千多名中学生因考试作弊而被开除。
"
afternoon,"n.午后，下午
","1. There’s a meeting on Thursday afternoon .
星期四下午有个会议。
2. It was very hot in the afternoon .
下午很热。
3. See you tomorrow afternoon .
明天下午见。
4. Are you going into town this afternoon ?
今天下午你进城去吗？
5. We met in the early afternoon .
下午较早的时候我们见了面。
6. By late afternoon , Micky had changed his mind.
到了傍晚，米基已改变了主意。
7. He was having his afternoon nap .
他在睡午觉。
"
destructive,"adj.破坏的；毁灭性的；有害的，消极的
","1. the destructive power of modern weapons
现代武器的破坏力
"
smash,"v.粉碎；使破产；溃裂
n.破碎；扣球；冲突；大败
adj.了不起的；非常轰动的；出色的
","1. Vandals had smashed all the windows.
破坏分子打碎了所有的窗子。
2. Firemen had to smash the lock to get in.
消防员不得不砸锁而入。
3. Several cups fell to the floor and smashed to pieces .
有几个杯子掉到地上摔得粉碎。
"
devil,"n.魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
v.虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮
","1. What on earth is wrong with the poor devil?
这可怜的家伙到底怎么了？
"
insulate,"v.隔离，使孤立；使绝缘，使隔热
","1. an insulated attic
隔热[隔音]的阁楼
"
knot,"n.（绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
v.打结
","1. One lace had broken and been tied in a knot.
一根带子已经断了，被打成一个结。
"
electrical,"adj.有关电的；电气科学的
","1. The fire was caused by an electrical fault.
大火是电力故障引起的。
2. an electrical engineer 
电力[电气]工程师
"
violet,"n.紫罗兰；堇菜；羞怯的人
adj.紫色的；紫罗兰色的
","1. She inhaled the violet perfume, saying “How sweet!”
她一边闻紫罗兰的芳香， 一边说“好香啊！”
"
shear,"v.剪；修剪；剥夺
n.[力] 切变；修剪；大剪刀
","1. Though shorn of some of its powers, the party remains in control.
虽然被削去了一些权力，该党仍然掌握着控制权。
2. Trim the shrubs with shears.
用大剪刀修剪这些灌木。
"
meadow,"n.草地；牧场
","1. The meadow has been ploughed up.
那片草地已用犁翻过。
2. The colt bounded through the meadow.
那匹马驹跳着跑过牧场。
3. There are many lambs capering in the meadow.
很多小羊在草地上蹦蹦跳跳。
"
bench,"n.长凳；工作台；替补队员
v.给…以席位；为…设置条凳
","1. We sat on a park bench.
我们坐在公园的长椅上。
"
metropolitan,"adj.大都市的；大主教辖区的；宗主国的
n.大城市人；大主教；宗主国的公民
","1. a metropolitan area of South Australia
南澳大利亚的一个都市区
"
advisable,"adj.明智的，可取的，适当的
","1. Regular medical check-ups are advisable.
定期检查身体是明智的。
2. It is advisable to write a career objective at the start of your resume.
简历开头最好写上职业目标。
"
elevator,"n.电梯；升降机；升降舵；起卸机
","1. We’ll have to take the elevator.
我们只好坐电梯了。
"
aluminum,"n.铝
","1. To make an aluminum can, that takes energy.
为了制造一个铝罐，就得消耗能源。
2. And she sat and sat on that aluminum throne ever since.
自那以后，她就一直坐在那个铝制的宝座上。
3. He says not only does arsenic belong under phosphorus, I predict that there is an element that lies below aluminum and above indium.
他认为不仅砷属于在磷下面，我预言还有一个元素,是在铝之上和铟的下边的。
"
suicide,"n.自杀；自杀行为；自杀者
adj.自杀的
vt.自杀
vi.自杀
","1. More people commit suicide at Christmas than at any other time.
圣诞节期间自杀的人比其他任何时候都多。
2. My mother attempted suicide on many occasions.
我母亲多次试图自杀。
3. He apparently left a suicide note (= letter explaining his reasons for killing himself ) on his desk.
他显然在桌上留了封绝笔信。
"
rubber,"n.橡胶；橡皮；合成橡胶；按摩师
adj.橡胶制成的
v.涂橡胶于；用橡胶制造
","1. a rubber ball
橡皮球
"
normalization,"n.正常化；标准化；正规化；常态化
",
acquaint,"v.使熟悉；使认识
","1. I need to acquaint myself with the new regulations.
我得熟悉一下新的规章制度。
"
grace,"n.优雅；恩惠；魅力；慈悲
v.使优美
","1. Lena moved with the grace of a dancer.
莉娜走路姿势有着舞者般的优美。
"
pure,"adj.纯的；纯粹的；纯洁的；清白的；纯理论的
n.(Pure)人名；(俄)普雷
","1. rings made of pure gold
纯金制成的戒指
2. Our beef patties are 100% pure .
我们的牛肉饼是100%的纯牛肉。
"
loaf,"n.条，一条面包；块；游荡
v.游荡；游手好闲；虚度光阴
","1. a loaf of bread 
一条面包
"
trademark,"n.商标
","1. The striped T-shirt became the comedian’s trademark.
条纹T恤衫成了这位喜剧演员的标记。
"
load,"n.负载，负荷；工作量；装载量
v.[力] 加载；装载；装货
","1. The lorry hadshed its load(= the load had fallen off ).
卡车上的货掉下来了。
2. The plane was carrying afull loadof fuel.
飞机载满燃料。
"
nearby,"adj.附近的，邻近的
adv.在附近
prep.在…附近
","1. Lucy was staying in the nearby town of Hamilton.
露西当时住在附近的汉密尔顿镇。
2. He might easily have been seen by someone who lived nearby.
他可能很容易被住在附近的人看到。
3. The helicopter crashed to earth nearby.
直升机坠毁在附近的地面上。
"
presume,"v.假定；推测；擅自；意味着
","1. I presume you're here on business.
我想你是来这儿出差的吧。
2. ""Had he been home all week?""—""I presume so.""
“他整个星期都在家吗？”—“我想是。”
"
conversion,"n.转换；变换；[金融] 兑换；改变信仰
","1. ...the conversion of disused rail lines into cycle routes.
…把废弃的铁路改变成自行车道。
"
irritate,"v.刺激，使兴奋；激怒
","1. It really irritates me when he doesn’t help around the house.
家里的事情他一点都不帮忙，真让我恼火。
"
plot,"n.情节；图；阴谋
v.密谋；绘图；划分；标绘
","1. The court heard how she and her lover hatched a plot (= planned a plot ) to kill her husband.
法庭听取了她和情人密谋杀害她丈夫的案情。
2. The plot to overthrow the military government was foiled (= prevented from being successful ) .
推翻军政府的秘密计划被挫败了。
3. an assassination plot
一宗暗杀阴谋
"
outskirts,"n.市郊，郊区
","1. On the extreme northwestern outskirts of the city stands the Buddhist temple.
那所佛教寺院位于市郊的最西北角。
2. Why not escape city noises and enter the peace of outskirts with our weekend trip?
为什么不参加我们的周末旅行，走出城市的喧闹，步入郊外的宁静呢？
"
grade,"n.年级；等级；成绩；级别；阶段
v.评分；把…分等级
","1. The best grades of tea are expensive.
最上等的茶叶价格很贵。
2. industrial grade diamonds
工业等级钻石
"
slide,"n.滑动；幻灯片；滑梯；雪崩
v.滑动；滑落；不知不觉陷入
","1. a slide show
幻灯片放映
"
axe,"n.斧
v.削减；用斧砍
","1. The edge of this axe has turned.
这把斧子卷了刃了。
2. He had just hit her over the head with the blunt end of an axe, fracturing her skull in three places.
就在刚刚，他用斧子另一端猛敲了妮基的头一下，将她的颅骨敲断裂成了三块。
3. If all else fails, take all the unused hardware out to the back yard and go to town with a handy bat, golf club, machete, or axe.
如果一切都失败了，采取一切无用的硬件出到后院，去同一个方便的球棒，高尔夫球俱乐部，砍刀，斧头或到城里。
"
solitary,"adj.孤独的；独居的
n.独居者；隐士
","1. a long, solitary walk
独自一人的长距离散步
"
scratch,"n.擦伤；抓痕；刮擦声；乱写
adj.打草稿用的；凑合的；碰巧的
v.抓；刮；挖出；乱涂
","1. There were deep scratches all over her face.
她脸上全是深深的伤痕。
2. Don’t worry, it’s only a scratch (= not a serious injury ) .
别担心，只是一道划伤。
3. She was unharmed apart from a few cuts and scratches.
除了几处皮外伤外，她安然无恙。
"
vocal,"adj.歌唱的；声音的，有声的
n.声乐作品；元音
","1. vocal music
声乐
2. Allison’s vocal style is influenced by country and blues music.
艾利森的演唱风格受到乡村音乐和布鲁斯音乐的影响。
3. a female vocal group
女子歌唱组合
"
transcend,"v.胜过，超越
","1. The desire for peace transcended political differences.
对和平的渴望超越了政治分歧。
"
outward,"adj.向外的；外面的；公开的；外服的；肉体的
adv.向外（等于outwards）；在外；显而易见地
n.外表；外面；物质世界
","1. The economy and outward appearance of the area have changed considerably.
该地区的经济和面貌发生了很大的变化。
2. His clenched fist was the only outward sign of his anger.
他那紧握的拳头是他内心愤怒的唯一外在表现。
3. Other poor countries looked outward, strengthening their ties to the economic superpowers.
其他的穷国向外看，加强它们和经济大国的联系。
"
park,"n.公园；[交] 停车场
v.停放；放置；寄存
","1. Let’s go for a walk in the park.
我们去公园散步吧。
2. a park bench
公园长椅
3. a flat overlooking Hyde Park
一套可以俯瞰海德公园的公寓
"
settlement,"n.解决，处理；[会计] 结算；沉降；殖民
","1. Union leaders and company bosses will meet tomorrow in an attempt to reach a settlement .
工会领导人和公司老板将于明天举行会议以期达成协议。
2. His lawyers are understood to be negotiating a settlement .
据说他的律师正在商谈一个协议。
3. Hopes grew that a workable peace settlement might emerge.
达成一项可行的和平协定的希望越来越大。
4. She got her home as part of the divorce settlement .
根据离婚协议，她拿到了房子。
5. The company paid out over $10 million in an out-of-court settlement .
这家公司花了1,000多万美元进行庭外和解。
"
banana,"n.香蕉；喜剧演员；大鹰钩鼻
","1. ...a bunch of bananas.
…一串香蕉。
"
isle,"n.岛
vt.使成为岛屿
vi.住在岛屿上
","1. the British Isles
不列颠群岛
"
necessitate,"v.使成为必需，需要；迫使
","1. Lack of money necessitated a change of plan.
由于缺乏资金，只能改变计划。
"
orphan,"adj.孤儿的；无双亲的
n.孤儿
v.使成孤儿
","1. The war has left thousands of children as orphans.
这场战争使成千上万的孩子成为孤儿。
"
pistol,"n.手枪；信号枪
vt.用手枪射击
",
piston,"n.活塞
","1. Filling the cylinder with steam pushes the piston out.
填充汽缸的蒸汽将活塞推出。
2. The new series also includes a piston design that makes digressive forces for added pitch and roll control. This helps with performance over rough terrains and on off-road surfaces.
新系列还包括一个活塞设计，它可降低阻力，增加间距和滚转控制，这有助于军用车辆在崎岖的地形和越野路面的表现。
"
keen,"adj.敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n.痛哭，挽歌
","1. a keen photographer
一个摄影迷
"
squirrel,"n.松鼠；松鼠毛皮
v.贮藏
",
optical,"adj.光学的；眼睛的，视觉的
","1. microscopes and other optical instruments
显微镜和其他光学仪器
"
conspiracy,"n.阴谋；共谋；阴谋集团
","1. There were many conspiracy theories (= beliefs that something is the result of a conspiracy ) surrounding Princess Diana’s death.
围绕戴安娜王妃之死有许多阴谋论。
"
hug,"v.拥抱；紧抱；抱有，坚持
n.拥抱；紧抱；固执
","1. We stood there crying and hugging each other.
我们站在那里哭着互相拥抱。
2. She went to her daughter and hugged her tightly .
她走到女儿身边，紧紧地拥抱她。
"
frost,"v.结霜于；冻坏
n.霜；冰冻，严寒；冷淡
","1. These seedlings were killed off by the severe frost.
这些幼苗由于严霜而冻死了。
"
crow,"v.啼叫；报晓
n.[鸟] 乌鸦；鸡鸣；撬棍
","1. Ben rushed to his father, crowing with pleasure.
本欢叫着跑向他爸爸。
"
cancel,"v.取消；删去
n.取消，撤销
","1. Our flight was cancelled.
我们的航班取消了。
2. I’m afraid I’ll have to cancel our meeting tomorrow.
恐怕我得取消我们明天的会议。
3. You’ll just have to ring John and cancel.
你只能打电话给约翰取消了。
"
bathroom,"n.浴室；厕所；盥洗室
","1. Where’s the bathroom?
洗手间在哪里？
"
eligible,"adj.合格的，合适的；符合条件的；有资格当选的
n.合格者；适任者；有资格者
","1. Stephen was regarded as an eligible bachelor.
斯蒂芬被认为是一个钻石王老五。
"
handbook,"n.手册；指南
","1. the Fiction Writer’s Handbook
《小说写作手册》
"
knit,"v.编织；结合；皱眉
n.编织衣物；编织法
","1. My grandmother taught me how to knit.
我祖母教过我编织。
2. She’s knitting a sweater.
她在织毛衣。
"
dessert,"n.餐后甜点；甜点心
","1. She had homemade ice cream for dessert.
她吃了些自制冰淇淋当餐后甜点。
"
verse,"n.诗，诗篇；韵文；诗节
v.作诗
","1. Let’s sing the last verse again.
我们把最后一节再唱一遍吧。
2. Learn the first two verses of the poem by heart.
把这首诗的头两节背下来。
3. Genesis chapter 3, verse 13
《创世记》第3章第13节
"
shallow,"adj.浅的；肤浅的
n.[地理] 浅滩
v.使变浅
","1. a shallow river
浅河
2. The lake is quite shallow.
这湖很浅。
3. the shallow end of the pool
游泳池的浅水区
4. Place the meat in a shallow dish.
把肉放在一个浅盘里。
"
pump,"v.打气；用抽水机抽…
n.泵，抽水机；打气筒
","1. It's not enough to get rid of raw sewage by pumping it out to sea.
仅用水泵将未经处理的污水排入海中是不够的。
2. The money raised will be used to dig bore holes to pump water into the dried-up lake.
筹到的钱款将用来挖井眼，再将水抽入干涸的湖中。
"
input,"n.投入；输入电路
v.[自][电子] 输入；将…输入电脑
","1. If the input data specified it, the file will close and the process terminates.
如果输入数据指定，该文件就会关闭，数据处理终止。
2. The computer acts as a word processor where the text of a speech can be input at any time.
计算机起着文字处理器的作用，一篇讲话的文本可随时输入。
"
handwriting,"n.笔迹；书法；书写；手稿
v.亲手写（handwrite的ing形式）
","1. I recognised her handwriting on the envelope.
我认出了信封上她的笔迹。
2. My handwriting has never been very neat.
我的字从来都写得不够工整。
"
expend,"v.花费；消耗；用光；耗尽
","1. Children expend a lot of energy and may need more high-energy food than adults.
孩子们耗能多，可能比成人需要更多高能量的食物。
"
forthcoming,"adj.即将来临的
n.来临
","1. the forthcoming elections
即将到来的选举
2. Keep an eye on the noticeboards for forthcoming events .
请注意布告牌上的活动预告。
"
prince,"n.王子，国君；亲王；贵族
","1. Prince William
威廉王子
"
tolerant,"adj.宽容的；容忍的；有耐药力的
","1. a tolerant society
宽容的社会
"
implement,"v.实施，执行；实现，使生效
n.工具，器具；手段
","1. The government promised to implement a new system to control financial loan institutions.
政府许诺要实施新的制度来控制金融贷款机构。
"
bunch,"n.群；串；突出物
v.隆起；打褶；形成一串
","1. Lili had fallen asleep clutching a fat bunch of grapes.
莉莉手里抓着一大串葡萄睡着了。
"
